key	en	es	fi	sr
hints.title	Mission hints	Pistas de la misión	Tehtävän vihjeet	Saveti za misiju
hints.defaultPrompt	I do not know how to use this clue yet.	Todavía no sé cómo usar esta pista.	En vielä tiedä, miten tätä vihjettä käytetään.	Još ne znam kako da iskoristim ovaj trag.
hints.briefLabel	Mission status	Estado de la misión	Tehtävän tila	Status misije
hints.progressLabel	Mission progress	Progreso de la misión	Tehtävän eteneminen	Napredak misije
hints.brief.welcome	Prepare your run	Prepara tu partida	Valmistele peli	Pripremi igru
hints.brief.pretest	Read the deal before you enter the network	Lee la oferta antes de entrar en la red	Lue tarjous ennen verkkoon siirtymistä	Pročitaj ponudu pre ulaska u mrežu
hints.brief.map	Choose the next district in the evidence trail	Elige el siguiente distrito en la ruta de pruebas	Valitse seuraava alue todistepolulta	Izaberi sledeći distrikt na putu dokaza
hints.brief.room	Solve the district and log what you discover	Resuelve el distrito y registra lo que descubras	Ratkaise alue ja kirjaa löytösi	Reši distrikt i zabeleži šta otkriješ
hints.brief.posttest	Use your evidence to protect Max	Usa tus pruebas para proteger a Max	Käytä todisteitasi Maxin suojelemiseen	Iskoristi dokaze da zaštitiš Maksa
hints.brief.win	Run complete: review what protected you	Partida completada: revisa lo que te protegió	Peli valmis: tarkastele, mikä suojasi sinua	Igra završena: pregledaj šta te je zaštitilo
hints.brief.lose	Time expired: review the warning signs	Se acabó el tiempo: revisa las señales de advertencia	Aika loppui: tarkastele varoitusmerkkejä	Vreme je isteklo: pregledaj znakove upozorenja
hints.stats.time	Time left	Tiempo restante	Aikaa jäljellä	Preostalo vreme
hints.stats.districts	Districts	Distritos	Alueet	Distrikti
hints.stats.tools	Tools	Herramientas	Työkalut	Alati
hints.stats.evidence	Evidence	Pruebas	Todisteet	Dokazi
hints.targetLabel	Current objective	Objetivo actual	Nykyinen tavoite	Trenutni cilj
hints.noTarget	Return to the map to choose an available district.	Vuelve al mapa para elegir un distrito disponible.	Palaa kartalle valitaksesi käytettävissä olevan alueen.	Vrati se na mapu da izabereš dostupan distrikt.
hints.mapObjective.title	Open {district}	Abre {district}	Avaa {district}	Otvori {district}
hints.mapObjective.text	This is the next available room in the investigation. Enter it from the map when you are ready to begin the challenge.	Esta es la siguiente sala disponible de la investigación. Entra desde el mapa cuando estés listo para empezar el reto.	Tämä on tutkimuksen seuraava käytettävissä oleva huone. Siirry sinne kartalta, kun olet valmis aloittamaan haasteen.	Ovo je sledeća dostupna soba u istrazi. Uđi iz mape kada budeš spreman/spremna za izazov.
hints.objectives.pretest.title	Complete the pre-test conversation	Completa la conversación del pre-test	Suorita esitestin keskustelu	Završi razgovor pre testa
hints.objectives.pretest.text	Read Max’s message, choose the response that best explains your first impression, and use the final button to enter the Physical Internet.	Lee el mensaje de Max, elige la respuesta que mejor explique tu primera impresión y usa el botón final para entrar en Internet Físico.	Lue Maxin viesti, valitse ensivaikutelmaasi parhaiten kuvaava vastaus ja siirry lopuksi Fyysiseen Internetiin.	Pročitaj Maksovu poruku, izaberi odgovor koji najbolje objašnjava tvoj prvi utisak i pritisni završno dugme za ulazak u Fizički internet.
hints.objectives.posttest.title	Make the final call	Toma la decisión final	Tee lopullinen päätös	Donesi konačnu odluku
hints.objectives.posttest.text	Use the evidence you collected to explain the warning signs and decide whether Max should close the tab.	Usa las pruebas que has reunido para explicar las señales de advertencia y decidir si Max debe cerrar la pestaña.	Käytä keräämiäsi todisteita varoitusmerkkien selittämiseen ja päätä, pitäisikö Maxin sulkea välilehti.	Iskoristi prikupljene dokaze da objasniš znakove upozorenja i odlučiš da li Maks treba da zatvori karticu.
hints.pretest.context	Build your first impression before the investigation begins.	Forma tu primera impresión antes de empezar la investigación.	Muodosta ensivaikutelmasi ennen tutkimuksen aloittamista.	Formiraj prvi utisak pre početka istrage.
hints.pretest.prompts.0	I do not know how to recognise pressure in this offer.	No sé cómo reconocer la presión en esta oferta.	En tiedä, miten tunnistan tämän tarjouksen painostuksen.	Ne znam kako da prepoznam pritisak u ovoj ponudi.
hints.pretest.prompts.1	I do not know what makes the influencer or page trustworthy.	No sé qué hace fiable a la influencer o a la página.	En tiedä, mikä tekee vaikuttajasta tai sivusta luotettavan.	Ne znam šta influensera ili stranicu čini pouzdanim.
hints.pretest.prompts.2	I do not know which doubts I should carry into the investigation.	No sé qué dudas debería llevar a la investigación.	En tiedä, mitkä epäilyt pitäisi ottaa mukaan tutkimukseen.	Ne znam koje sumnje treba da ponesem u istragu.
hints.pretest.items.0	Notice the countdown, the huge discount, and the promise of a limited-time deal.	Fíjate en la cuenta atrás, el enorme descuento y la promesa de una oferta limitada.	Huomaa lähtölaskenta, valtava alennus ja lupaus määräaikaisesta tarjouksesta.	Obrati pažnju na odbrojavanje, ogroman popust i obećanje vremenski ograničene ponude.
hints.pretest.items.1	Ask yourself whether the influencer, comments, and polished page are enough to prove the offer is safe.	Pregúntate si la influencer, los comentarios y la página cuidada bastan para demostrar que la oferta es segura.	Kysy itseltäsi, riittävätkö vaikuttaja, kommentit ja viimeistelty sivu todistamaan tarjouksen turvalliseksi.	Zapitaj se da li su influenser, komentari i sređena stranica dovoljni da dokažu da je ponuda bezbedna.
hints.pretest.items.2	Keep your first concerns in mind. The districts ahead will give you evidence to test them.	Ten presentes tus primeras dudas. Los próximos distritos te darán pruebas para comprobarlas.	Pidä ensimmäiset huolesi mielessä. Seuraavat alueet antavat todisteita niiden testaamiseen.	Imaj na umu svoje prve nedoumice. Distrikti pred tobom pružiće dokaze da ih proveriš.
hints.map.context	Choose an unlocked district and follow the evidence trail.	Elige un distrito desbloqueado y sigue la ruta de pruebas.	Valitse avattu alue ja seuraa todistepolkua.	Izaberi otključani distrikt i prati put dokaza.
hints.map.prompts.0	I do not know which station I can enter next.	No sé en qué estación puedo entrar ahora.	En tiedä, mille asemalle voin siirtyä seuraavaksi.	Ne znam u koju stanicu mogu sledeću da uđem.
hints.map.prompts.1	I do not know how the district chain works.	No sé cómo funciona la cadena de distritos.	En tiedä, miten alueiden ketju toimii.	Ne znam kako funkcioniše lanac distrikta.
hints.map.prompts.2	I do not know when my tools will become useful.	No sé cuándo serán útiles mis herramientas.	En tiedä, milloin työkaluni ovat hyödyllisiä.	Ne znam kada će moji alati postati korisni.
hints.map.items.0	A bright station is ready to explore; a dim station is still locked.	Una estación iluminada está lista para explorar; una apagada sigue bloqueada.	Kirkas asema on valmis tutkittavaksi; himmeä asema on yhä lukittu.	Svetla stanica je spremna za istraživanje; zatamnjena je još zaključana.
hints.map.items.1	The districts are designed as a chain, so finishing one unlocks the next.	Los distritos forman una cadena: completar uno desbloquea el siguiente.	Alueet muodostavat ketjun, joten yhden suorittaminen avaa seuraavan.	Distrikti su povezani u lanac, pa završetak jednog otključava sledeći.
hints.map.items.2	Check your Bag after each solved district: new tools help with later puzzles.	Revisa tu Bolsa después de cada distrito: las nuevas herramientas ayudan en los siguientes retos.	Tarkista laukkusi jokaisen ratkaistun alueen jälkeen: uudet työkalut auttavat myöhemmissä pulmissa.	Proveri torbu posle svakog rešenog distrikta: novi alati pomažu u kasnijim zagonetkama.
hints.posttest.context	Use what you discovered to help your friend make the final call.	Usa lo que has descubierto para ayudar a tu amigo a tomar la decisión final.	Käytä löytöjäsi auttaaksesi ystävääsi tekemään lopullisen päätöksen.	Iskoristi ono što si otkrio/otkrila da pomogneš prijatelju da donese konačnu odluku.
hints.posttest.prompts.0	I do not know how to separate real evidence from persuasive decoration.	No sé separar las pruebas reales de la decoración persuasiva.	En tiedä, miten erotan todellisen todisteen vakuuttavasta koristeesta.	Ne znam kako da odvojim stvarne dokaze od uverljive dekoracije.
hints.posttest.prompts.1	I do not know which warning signs matter most.	No sé qué señales de advertencia son más importantes.	En tiedä, mitkä varoitusmerkit ovat tärkeimpiä.	Ne znam koji su znakovi upozorenja najvažniji.
hints.posttest.prompts.2	I do not know how to explain the risk before choosing.	No sé cómo explicar el riesgo antes de decidir.	En tiedä, miten selitän riskin ennen päätöstä.	Ne znam kako da objasnim rizik pre izbora.
hints.posttest.items.0	Separate manufactured urgency from a genuinely good offer.	Distingue la urgencia fabricada de una oferta realmente buena.	Erota keinotekoinen kiire aidosti hyvästä tarjouksesta.	Razlikuj veštačku hitnost od zaista dobre ponude.
hints.posttest.items.1	Remember that a familiar creator or a polished page is not proof of safety.	Recuerda que un creador conocido o una página cuidada no demuestran que sea segura.	Muista, ettei tuttu sisällöntuottaja tai viimeistelty sivu todista turvallisuutta.	Zapamti da poznati kreator ili sređena stranica nisu dokaz bezbednosti.
hints.posttest.items.2	Use the evidence in your Bag to explain the risk before choosing.	Usa las pruebas de tu Bolsa para explicar el riesgo antes de decidir.	Käytä laukussasi olevia todisteita riskin selittämiseen ennen päätöstä.	Iskoristi dokaze iz torbe da objasniš rizik pre odluke.
hints.room.link.context	Inspect every URL. Small spelling changes can hide a fake destination.	Inspecciona cada URL. Pequeños cambios ortográficos pueden ocultar un destino falso.	Tutki jokainen URL-osoite. Pienet kirjoitusmuutokset voivat peittää väärennetyn kohteen.	Pregledaj svaki URL. Male promene u pisanju mogu sakriti lažno odredište.
hints.room.link.prompts.0	I do not know how to spot the extra words in these domains.	No sé cómo detectar las palabras adicionales en estos dominios.	En tiedä, miten huomaan ylimääräiset sanat näissä verkkotunnuksissa.	Ne znam kako da uočim dodatne reči u ovim domenima.
hints.room.link.prompts.1	I do not know how to check whether the connection and domain ending are suspicious.	No sé cómo comprobar si la conexión y la terminación del dominio son sospechosas.	En tiedä, miten tarkistan, ovatko yhteys ja verkkotunnuksen pääte epäilyttäviä.	Ne znam kako da proverim da li su veza i završetak domena sumnjivi.
hints.room.link.prompts.2	I do not know how to identify disguised or look-alike characters.	No sé cómo identificar caracteres disfrazados o parecidos.	En tiedä, miten tunnistan naamioidut tai samannäköiset merkit.	Ne znam kako da prepoznam prikrivene ili slične znakove.
hints.room.link.items.0	Compare the domains letter by letter.	Compara los dominios letra por letra.	Vertaa verkkotunnuksia kirjain kirjaimelta.	Uporedi domene slovo po slovo.
